Cobalto,,Cobre,
Long.de onda (nm),Abs,Long.de onda (nm),Abs
591.9971924,0.0494113043,791.9956665,0.5452896357
590.9943237,0.049407009,790.9857178,0.5421031713
589.9912109,0.0504228473,790.0101318,0.5412592292
588.9877319,0.0517809838,788.9993286,0.5455425382
587.9841309,0.0527449288,787.9880981,0.5432447195
587.017395,0.0545227714,787.0114136,0.54634583
586.0132446,0.0583542064,785.9994507,0.54031986
585.0087891,0.0582170226,784.9870605,0.5435569882
584.0040894,0.0607959852,784.0092163,0.5396130681
582.9991455,0.0628386214,782.9960938,0.5426011682
581.9940186,0.0631256402,782.0174561,0.5419985652
580.9884644,0.06740468,781.00354,0.5444663167
579.9827881,0.069324553,779.9892578,0.5425196886
579.0140381,0.071345672,779.0094604,0.5427283645
578.0078735,0.0758124813,777.9943848,0.5409581065
577.0014038,0.0782095715,777.013855,0.5429056883
575.9946899,0.0809310526,775.9979858,0.5425266623
574.9877319,0.0845414698,775.0167847,0.5402403474
574.0178223,0.0864143223,774.0001221,0.5413171649
573.0103149,0.0887461305,772.9830322,0.5405171514
572.0026855,0.0925756842,772.0007324,0.5392417312
570.9946289,0.096740745,770.9829102,0.5422998667
569.9864502,0.1005015448,769.9997559,0.5395953059
569.0153198,0.1026202589,769.0163574,0.536506176
568.0066528,0.1062006578,767.9973755,0.5411477685
566.9976196,0.1107132733,767.0131226,0.5381981134
565.9884644,0.1135393083,765.9934692,0.5336705446
565.0163574,0.118264623,765.0084839,0.5352233052
564.0067139,0.1211770028,763.9879761,0.5372540951
562.9967041,0.1259821653,763.0023804,0.5354551673
561.9865723,0.1288379729,762.0162964,0.5338339806
561.0134888,0.1348198056,760.9946899,0.5351298451
560.0028687,0.1385550052,760.0079346,0.5351044536
558.9919434,0.142628774,758.9855347,0.5334445834
558.0182495,0.1473887712,757.9980469,0.5313487649
557.0067749,0.1531064659,757.0101929,0.5315065384
555.9951782,0.1579316705,755.9866943,0.5311829448
554.9832764,0.1621974409,754.9981079,0.5282063484
554.008667,0.1670355052,754.0092163,0.5265900493
552.9962158,0.1728334427,752.9845581,0.5274644494
551.9836426,0.1779523045,751.994873,0.5236729383
551.0083008,0.1822587848,751.0049438,0.5231026411
549.9951782,0.187001124,750.0145264,0.5236967206
548.9819336,0.1923852116,748.9884644,0.5203054547
548.0058594,0.1986337006,747.9973145,0.5182698369
546.9920654,0.2017256171,747.0058594,0.5173845291
546.015564,0.2057781965,746.0140991,0.51572752
545.0012817,0.2100894153,744.9864502,0.5153806806
543.9867554,0.2141309977,743.9939575,0.5096148849
543.0095825,0.2210114747,743.0011597,0.511572361
541.9945679,0.2229476422,742.0078735,0.508189857
541.0169678,0.2258021981,741.0143433,0.5059106946
540.0015259,0.2295107394,739.9849243,0.5080134273
538.9858398,0.2333370596,738.9906616,0.5020165443
538.0075684,0.2362724692,737.9960327,0.5007879138
536.9914551,0.2401048392,737.0010376,0.4991364479
536.0126953,0.2414120287,736.0057373,0.4975480735
534.9960327,0.2446925193,735.0100098,0.4954300523
534.0168457,0.2456614524,734.0140381,0.4921545386
532.9998169,0.247683987,733.0176392,0.4910218716
531.9824829,0.2495751828,731.9853516,0.4869146943
531.0026245,0.2523926795,730.9882813,0.4868372679
529.9848022,0.254458487,729.9907837,0.4837997258
529.0045166,0.2552131712,728.993103,0.482301116
527.9863281,0.2563056946,727.9949341,0.4785439372
527.0055542,0.2566016614,726.996582,0.478137821
525.9868774,0.2576238513,725.9977417,0.4728153348
525.0057373,0.2584660649,724.9985962,0.4718797803
523.9866333,0.2598858178,723.9990845,0.4697067142
523.0050049,0.2586762011,722.9992676,0.4675644636
521.9854126,0.2578952909,721.9991455,0.4647812545
521.0032959,0.2586236,720.9985962,0.4620689452
519.9833374,0.2564339042,719.9978027,0.4602666497
519.0008545,0.2544771433,718.996582,0.4580405653
518.0181274,0.2553919554,717.9950562,0.4549792707
516.9974976,0.2537940443,716.9931641,0.4521453083
516.0143433,0.253849864,715.9910278,0.4498332441
514.9931641,0.2491927296,714.9884644,0.4469608366
514.0096436,0.2501663864,713.9856567,0.4434829354
512.9880371,0.247334078,712.9823608,0.4431065023
512.0040894,0.2439983338,712.0146484,0.4423138201
510.9820557,0.243350178,711.0107422,0.4408296049
509.9976501,0.2409787178,710.0065918,0.4380817413
509.0130615,0.238701582,709.0020142,0.4344551861
507.990387,0.235701248,707.9971313,0.4327461421
507.0053711,0.2343761176,706.9919434,0.4309040308
505.9821472,0.2293748558,705.9863281,0.4287493825
504.9967346,0.2274190187,705.0164185,0.4263689518
504.0111084,0.224244386,704.0102539,0.4247157574
502.9873352,0.2220209092,703.0036621,0.4225918055
502.0012512,0.2202590555,701.9967651,0.4192622006
501.0150146,0.218528077,700.989563,0.4185375273
499.9906006,0.2144382596,699.9819946,0.4155732393
499.0039063,0.2132728249,699.0101929,0.4129496813
498.0170288,0.2101988941,698.0019531,0.4112189412
496.9919128,0.2099232376,696.9934692,0.4066205323
496.0046082,0.2072646618,695.9846191,0.4073826373
495.0170288,0.206821382,695.0115356,0.4041049182
493.9914246,0.2047713548,694.0020752,0.4028342664
493.003479,0.2029249072,692.9921875,0.3980024159
492.0153503,0.2012721151,691.9819946,0.3959685862
490.9890442,0.1997166723,691.0076904,0.3915773928
490.0004883,0.1954631358,689.9969482,0.3892436326
489.0117798,0.1918567866,688.9857788,0.3875324428
487.9848022,0.1899909228,688.010498,0.3859474659
486.995636,0.1887165457,686.9987183,0.3827613592
486.0062866,0.1861632317,685.9866943,0.3803128302
485.0168152,0.1832996607,685.010437,0.3737754226
483.9889526,0.1817938536,683.9976807,0.370485425
482.9990845,0.1790847331,682.9846802,0.3674629927
482.0089722,0.1735266447,682.0075073,0.3652824759
481.0186157,0.1740659177,680.9937744,0.3614996672
479.9899902,0.170186013,680.0160522,0.3594095707
478.9992981,0.1683968157,679.00177,0.3566123247
478.0083313,0.1667054743,677.9871826,0.3532859385
477.0172424,0.1627711654,677.0084229,0.3516177535
475.9877625,0.1614073366,675.9932251,0.3468886018
474.9962463,0.1584482491,675.013916,0.343835175
474.0045776,0.1567998081,673.9980469,0.3404925764
473.0126648,0.1532429308,673.0181885,0.3365774453
471.9823914,0.1485028565,672.0016479,0.3344133198
470.9901428,0.1465241313,670.9848022,0.3282159865
469.9975891,0.1414334327,670.0040283,0.3264122903
469.0049744,0.1365972757,668.9865723,0.3230525553
468.012085,0.1369905025,668.005188,0.3184418082
467.019043,0.1277835071,666.9870605,0.3174904287
465.9876404,0.1255721599,666.005127,0.3113731444
464.9941711,0.1210629046,664.9864502,0.3101013601
464.0005493,0.1171914786,664.0037842,0.305939734
463.0067139,0.1110218912,662.9844971,0.3021120429
462.0127258,0.1053472608,662.0013428,0.2976126969
461.0185242,0.1042487621,661.0178223,0.294854939
459.9858398,0.1006531194,659.9976196,0.2923482358
458.991272,0.0960512832,659.0136108,0.2876715064
457.9965515,0.0933364034,657.9927368,0.2843054831
457.0015259,0.0881536454,657.0080566,0.281203568
456.0063782,0.0844788253,655.9866333,0.2766436934
455.0110779,0.0811050907,655.0014038,0.275113821
454.0155334,0.0787460282,654.0158081,0.2703557014
452.9815979,0.0747691393,652.9935303,0.2682530284
451.9857178,0.0722371116,652.0074463,0.2650440037
450.989563,0.0683724955,650.984436,0.262214601
449.9933472,0.0668162778,649.9977417,0.2592658699
448.9968872,0.0646504238,649.0107422,0.2551473081
448.0002747,0.0618894398,647.9869385,0.2532633245
447.003479,0.0587908253,646.9993286,0.2487899661
446.0064697,0.0546836332,646.0114746,0.2471621335
445.0093384,0.0560985059,644.9866943,0.2451809943
444.0119934,0.0543675162,643.9983521,0.2410660535
443.0144348,0.0512185134,643.0095825,0.2379802614
442.0167542,0.0497026406,641.9839478,0.2350263894
441.0188293,0.0497614779,640.9946899,0.2318095863
439.9823608,0.0461697429,640.0050659,0.2294081748
438.9840698,0.0462458991,639.0152588,0.2268273383
437.9856567,0.0453665704,637.9884033,0.2231001854
436.9870605,0.0431819633,636.9979858,0.2216080576
435.9882813,0.0427213311,636.0073242,0.2180519402
434.9892578,0.040713232,635.0162964,0.2168366015
433.9901428,0.0415284038,633.9883423,0.2145697623
432.9908142,0.0411711969,632.9968262,0.2105088979
431.991333,0.0385122187,632.0048828,0.2091748118
430.9916382,0.0374765918,631.0128174,0.2066349536
429.9917908,0.0368062593,629.9837036,0.2032574862
428.9917908,0.0371375606,628.9909668,0.2004462183
427.9915466,0.035674125,627.9980469,0.1977923065
426.9911499,0.0352329798,627.0048218,0.1956052184
425.9906311,0.0356974229,626.0113525,0.1927249432
424.9898987,0.0356212407,625.0175171,0.1900815815
423.9889832,0.035724882,623.9866943,0.1883641183
422.987915,0.034866523,622.9923706,0.1863836944
421.9866943,0.0340050124,621.9977417,0.1841018498
420.98526,0.0330831595,621.0028687,0.1813253462
419.9836426,0.0329934694,620.0076904,0.1797145009
418.9818726,0.0327772126,619.0122681,0.1763936281
418.0185242,0.0328161828,618.0166016,0.1744003594
417.016449,0.0325829089,616.9837036,0.173428461
416.0141296,0.0317707472,615.9874268,0.1710880548
415.0116882,0.0329387039,614.9909668,0.1683059931
414.0091248,0.0329012834,613.9941406,0.1666624546
413.0063782,0.0341785811,612.9970703,0.1645646244
412.003418,0.0337107517,611.9997559,0.1639540792
411.0003357,0.0327909179,611.0021973,0.1613217145
409.9970398,0.0303851087,610.0042114,0.1608560979
