;3 min;15 min;30 min;47 min;57 min;70 min;76 min;88 min;Final;Blanco
Long.de onda (nm); Abs; Abs;Abs;Abs;Abs;Abs;Abs;Abs; Abs;Abs
727.0023193;1.31670785;1.033390045;0.5723044872;0.4351191521;0.4041568637;0.3771495223;0.359875828;0.3348844051;0.1068012565;1.569987774
726.00354;1.327812195;1.035301685;0.5714741349;0.4332258403;0.4055311382;0.37823838;0.3585674167;0.3336146474;0.1070560217;1.559308052
725.0043945;1.320083618;1.031240582;0.5701848269;0.4355503619;0.4058145583;0.3774686754;0.3590869009;0.3329408765;0.1070185974;1.555055261
724.0050049;1.319095254;1.037174582;0.5702679753;0.4351159334;0.4066157043;0.3764466643;0.3591194749;0.3339664042;0.1081043184;1.547823906
723.005188;1.31614697;1.031652212;0.570661366;0.4343649745;0.4044252336;0.377276808;0.358787477;0.3336241841;0.1076370105;1.563126683
722.0050049;1.323245764;1.0330019;0.5720061064;0.4345677495;0.4051833451;0.3758564591;0.3592143059;0.3344229758;0.108785063;1.553741217
721.0045166;1.320026517;1.038355947;0.5713874102;0.4356223643;0.4055032432;0.3781163692;0.3600130081;0.3346588016;0.1091811433;1.546942353
720.0037231;1.324843407;1.036621809;0.5714156628;0.4353172183;0.4050658345;0.3767212033;0.3596813083;0.3347936869;0.1100344658;1.553387761
719.0025635;1.33167541;1.03444469;0.5733164549;0.4363678992;0.4052612185;0.3788706064;0.3609563112;0.3339454234;0.1112103164;1.552002668
718.0010986;1.322257519;1.037839174;0.5729183555;0.4367644489;0.4057848155;0.3783290982;0.3602702022;0.3358909488;0.1107644513;1.555080175
716.9992676;1.325888157;1.036480069;0.5747497082;0.4364854395;0.4073185027;0.378290087;0.3611289561;0.3348221183;0.1105190143;1.555588484
715.9970093;1.324804544;1.038779378;0.574487865;0.4379239082;0.4079756737;0.378682822;0.3622744381;0.3361300826;0.1108604372;1.548303962
714.9945679;1.324937701;1.042203546;0.5755597353;0.437438786;0.406957984;0.3806599975;0.362213999;0.3372130692;0.1110707298;1.565680981
713.9916382;1.32007122;1.034014702;0.5767455697;0.4386858344;0.4098597467;0.3807919025;0.3627813756;0.3378071189;0.1122543514;1.548031569
712.9884644;1.325619698;1.038983226;0.5756085515;0.440196842;0.4093311131;0.3812935352;0.3638915122;0.3370501399;0.1117046848;1.563175797
711.9849854;1.330295444;1.040650725;0.5779779553;0.4408109188;0.4100755155;0.3831571043;0.3664646745;0.3388820291;0.1134210825;1.556899309
711.0169678;1.322190285;1.043574572;0.5790285468;0.4396783113;0.4118221998;0.3836714923;0.3669818938;0.3401510417;0.1141188368;1.544754624
710.0127563;1.330736041;1.042473435;0.5790669322;0.442920208;0.4123556912;0.3848805428;0.3672802448;0.3413573205;0.115610078;1.558912277
