muestra2;
Long.de onda (nm);Abs
527.9962158;0.6250664592
527.0155029;0.625248313
525.9967651;0.6252179742
525.015686;0.6249664426
523.996521;0.6252238154
523.0149536;0.6255282164
521.9953613;0.6246989965
521.0133667;0.6256831884
519.9932861;0.6259414554
519.0108643;0.6248828769
517.9904175;0.625230372
517.0075073;0.6249861121
515.9866333;0.6255268455
515.0032959;0.6256250739
513.9819336;0.6258476973
512.99823;0.6255526543
512.0142212;0.6258071065
510.9921875;0.6270560622
510.007843;0.6266863942
508.9853821;0.6258077621
508.0005798;0.6270244122
507.0155334;0.6259768009
505.9924622;0.6254253387
505.007019;0.6265954971
503.983429;0.6268780231
502.9976196;0.6273664832
502.0116272;0.6259013414
500.9873657;0.626301825
500.0009155;0.6265830398
499.0141907;0.6259622574
497.9894104;0.6253908873
497.0023499;0.6267334819
496.0150146;0.6267288923
494.989563;0.6269291639
494.0018005;0.6281045079
493.013916;0.6284325123
491.9878235;0.6277208328
490.9994812;0.6284741163
490.0109558;0.628888011
488.9842224;0.6288028955
487.9953308;0.6284267306
487.0062256;0.6291674376
486.0169373;0.6302115321
484.9893188;0.6307178736
483.9996033;0.6305782199
483.0097046;0.6320051551
481.9814453;0.6321614385
480.9911804;0.6326668262
480.0006104;0.6361658573
479.0099182;0.6366366148
478.0190125;0.6365994215
476.9897766;0.6377570033
475.9984741;0.6384011507
475.007019;0.6397733688
474.0152893;0.6426492333
472.98526;0.6438977122
471.9931946;0.645473063
471.0009155;0.6461674571
470.0084534;0.6488423944
469.0158386;0.6512370706
467.9847412;0.6519705057
466.9916687;0.6533514261
465.9984436;0.6547185183
465.0049744;0.6561707258
464.0113831;0.6581689119
463.0175781;0.6597442627
461.9853821;0.6620326638
460.9911804;0.6632856727
459.9967957;0.6636632085
459.0022278;0.6649808288
458.0074463;0.6671441793
457.0125427;0.6685798764
456.0174255;0.6694794893
454.9838257;0.6708592772
453.9883423;0.6721248031
452.9925842;0.6736242175
451.9967651;0.6753313541
451.0007019;0.6762784123
450.0044556;0.677374959
449.0079956;0.6790238023
448.0114441;0.680441916
447.0146484;0.682055831
446.0176392;0.6836401224
444.9820862;0.6837756634
443.9847717;0.6845892668
442.9872742;0.6863505244
441.989502;0.6871032119
440.9916382;0.6876724958
439.9936218;0.688328445
438.9953613;0.6901328564
437.9969177;0.6902762055
436.9983215;0.6916413307
435.9995422;0.6912358403
435.0005493;0.6926086545
434.0014343;0.6931968331
433.0021667;0.6933121085
432.0026855;0.6942710876
431.0029907;0.6945345998
430.0031433;0.6946023107
429.0031433;0.6951545477
428.0029297;0.6948168278
427.0025635;0.6949108243
426.0020142;0.6954061389
425.0013428;0.6948068142
424.0004272;0.6944733262
422.9993591;0.6937494874
