muestra1; ; 3min; ; 
Long.de onda (nm); Abs; Long.de onda (nm); Abs; 
628.0060425; 0.3270644248; 628.0060425; 1.391901612; 
627.0128784; 0.3324535191; 627.0128784; 1.388018966; 
625.982605; 0.3383601904; 625.982605; 1.396877885; 
624.9887695; 0.3455024064; 624.9887695; 1.390792608; 
623.994812; 0.3511919975; 623.994812; 1.391088009; 
623.0004883; 0.3566509485; 623.0004883; 1.39434731; 
622.0059204; 0.3630838096; 622.0059204; 1.390906453; 
621.0109863; 0.3693834543; 621.0109863; 1.397301912; 
620.0159302; 0.3769616485; 620.0159302; 1.397249579; 
618.9835815; 0.3832363188; 618.9835815; 1.391741991; 
617.987854; 0.3904150128; 617.987854; 1.384892702; 
616.9919434; 0.3960976005; 616.9919434; 1.391802192; 
615.9957275; 0.4036751091; 615.9957275; 1.3892802; 
614.9991455; 0.4092135131; 614.9991455; 1.383400083; 
614.0024414; 0.4174973071; 614.0024414; 1.39696157; 
613.0054321; 0.4224737883; 613.0054321; 1.386802912; 
612.0080566; 0.4311189353; 612.0080566; 1.383925319; 
611.010498; 0.4389306605; 611.010498; 1.390972376; 
610.0126953; 0.4468542635; 610.0126953; 1.391584396; 
609.0145264; 0.4523929954; 609.0145264; 1.394733906; 
608.0161743; 0.4587258101; 608.0161743; 1.393493056; 
607.0174561; 0.4688538313; 607.0174561; 1.389235854; 
605.9815674; 0.47544837; 605.9815674; 1.388723135; 
604.9823608; 0.4828035831; 604.9823608; 1.390288115; 
603.9829102; 0.4907602072; 603.9829102; 1.393192172; 
602.9832153; 0.4977839291; 602.9832153; 1.386148334; 
601.9832153; 0.5041546822; 601.9832153; 1.391057253; 
600.9829102; 0.5126242042; 600.9829102; 1.398257256; 
599.9824219; 0.5198128819; 599.9824219; 1.386239052; 
598.9816284; 0.5299780369; 598.9816284; 1.390501857; 
598.0177002; 0.5352634192; 598.0177002; 1.391017556; 
597.0163574; 0.5442172289; 597.0163574; 1.389408469; 
596.0148315; 0.5523779988; 596.0148315; 1.384003282; 
595.0130005; 0.5600889921; 595.0130005; 1.381370306; 
594.0109253; 0.565903604; 594.0109253; 1.384145021; 
593.0085449; 0.5744916201; 593.0085449; 1.392039061; 
592.0059814; 0.5822777152; 592.0059814; 1.384316802; 
591.0031128; 0.5903483629; 591.0031128; 1.384895444; 
589.999939; 0.5984960198; 589.999939; 1.385757804; 
588.996582; 0.604939878; 588.996582; 1.379730463; 
587.9929199; 0.6130024791; 587.9929199; 1.384325862; 
586.9890137; 0.6206116676; 586.9890137; 1.376110792; 
585.9848022; 0.628264308; 585.9848022; 1.377958298; 
585.0176392; 0.6365883946; 585.0176392; 1.377239585; 
584.0129395; 0.6433440447; 584.0129395; 1.379820585; 
583.0080566; 0.6502472162; 583.0080566; 1.38497138; 
582.0028076; 0.6585229039; 582.0028076; 1.378462672; 
580.9974365; 0.667725265; 580.9974365; 1.372475147; 
579.9917603; 0.6742485166; 579.9917603; 1.373786092; 
578.9857788; 0.6820571423; 578.9857788; 1.379253507; 
578.0168457; 0.6892685294; 578.0168457; 1.367362857; 
577.010437; 0.6974920034; 577.010437; 1.374446511; 
576.0037231; 0.7038573623; 576.0037231; 1.370575547; 
574.9967651; 0.7092798948; 574.9967651; 1.371957421; 
573.989563; 0.7160937786; 573.989563; 1.369457245; 
572.9821167; 0.7238054276; 572.9821167; 1.365599632; 
572.0117188; 0.7303732634; 572.0117188; 1.368940353; 
571.0037842; 0.7377284169; 571.0037842; 1.367203116; 
569.9955444; 0.7430677414; 569.9955444; 1.368811369; 
568.9871826; 0.7488338351; 568.9871826; 1.366559744; 
568.0157471; 0.753684938; 568.0157471; 1.358664632; 
567.006897; 0.7606508136; 567.006897; 1.357941151; 
565.9976807; 0.7657270432; 565.9976807; 1.35420084; 
564.9882202; 0.7708210945; 564.9882202; 1.364273548; 
564.0158691; 0.777205348; 564.0158691; 1.357678413; 
563.0059814; 0.7831383348; 563.0059814; 1.355769992; 
561.9958496; 0.7848715186; 561.9958496; 1.363763452; 
560.9854736; 0.7895593643; 560.9854736; 1.354221582; 
560.012146; 0.7947532535; 560.012146; 1.353774428; 
559.0012817; 0.7990845442; 559.0012817; 1.352550626; 
557.9901123; 0.8024435639; 557.9901123; 1.353313446; 
557.0161743; 0.8061023355; 557.0161743; 1.350286841; 
556.0045776; 0.8098508716; 556.0045776; 1.348317623; 
554.9926758; 0.8138997555; 554.9926758; 1.345021844; 
554.0180664; 0.8168533444; 554.0180664; 1.351543784; 
553.0057373; 0.8183380365; 553.0057373; 1.34627521; 
551.993103; 0.8219277263; 551.993103; 1.348490953; 
551.0177612; 0.8236997724; 551.0177612; 1.348588347; 
550.0047607; 0.8249542713; 550.0047607; 1.341861248; 
548.991394; 0.8281713128; 548.991394; 1.34158206; 
548.0153809; 0.8299875855; 548.0153809; 1.341912866; 
547.0015869; 0.8314269781; 547.0015869; 1.339437246; 
545.9876099; 0.8324726224; 545.9876099; 1.336363077; 
545.0108643; 0.8332394958; 545.0108643; 1.33509326; 
543.9963989; 0.8339297175; 543.9963989; 1.335220337; 
542.9816284; 0.8336670995; 542.9816284; 1.335001588; 
542.0042114; 0.8334059715; 542.0042114; 1.336593151; 
540.9890137; 0.8332628608; 540.9890137; 1.331835032; 
540.0112305; 0.8336533904; 540.0112305; 1.336046576; 
538.9955444; 0.8336937428; 538.9955444; 1.334625125; 
538.0172119; 0.831284821; 538.0172119; 1.334147692; 
537.0011597; 0.8303599954; 537.0011597; 1.332335114; 
535.9847412; 0.8295503259; 535.9847412; 1.333108902; 
